# TimeFrame
#
# t_0 = 0.000000
# t_end = 1000.000000
# dt = 0.010000
#
# Neuron
#
# type = LIF
# mu = 1.100000
# D = 0.000500
#
# Simulation
#
# type = suscept_sim
# c = 0.500000
# N_neurons = 100000
#
# Data format: f, Re[chi_1(f)], Im[chi_1(f)], Re[chi_2(f,f)], Im[chi_2(f,f)]
0.000000,-nan,-nan,-nan,-nan
0.355000,1.848510,3.228359,-11.574124,6.393129
0.356000,1.791569,3.315446,-37.385811,13.899643
0.357000,1.864588,3.358006,-42.038579,-2.570472
0.358000,1.879768,3.399889,6.450467,7.278532
0.359000,1.874851,3.448539,-21.021327,8.872451
0.360000,1.874076,3.485127,-18.592566,31.831263
0.361000,1.943956,3.588136,0.192579,6.205566
0.362000,1.899833,3.564023,-15.327130,-8.136285
0.363000,1.927653,3.665566,-11.777353,-0.626431
0.364000,1.899952,3.681493,-16.200520,9.437406
0.365000,1.965492,3.746585,-48.704485,12.544362
0.366000,2.056704,3.801153,-27.746402,31.205070
0.367000,2.031646,3.939951,-31.129011,42.418674
0.368000,2.074041,3.945717,8.908981,47.834235
0.369000,2.110325,4.031112,-12.490949,31.573510
0.370000,2.107764,4.047472,1.234909,16.997089
0.371000,2.203584,4.108938,6.671461,21.169204
0.372000,2.274134,4.209171,-21.732963,16.817278
0.373000,2.208251,4.264464,13.235729,53.477447
0.374000,2.272745,4.289727,-32.476773,-16.284828
0.375000,2.295448,4.351364,-21.628275,6.462117
0.376000,2.287677,4.512546,-45.861840,26.843639
0.377000,2.292954,4.507308,-22.495385,27.522642
0.378000,2.424533,4.596536,-2.175952,38.310662
0.379000,2.496391,4.708867,-16.924844,-4.363498
0.380000,2.529898,4.759860,-5.052953,68.883608
0.381000,2.582710,4.830356,-8.849889,24.327605
0.382000,2.593555,4.937393,-13.109956,38.540674
0.383000,2.626567,5.121769,-36.051628,26.002421
0.384000,2.797567,5.106107,-15.787267,8.500487
0.385000,2.843450,5.249604,-34.786990,67.937453
0.386000,2.932532,5.234725,11.671933,9.740565
0.387000,2.909155,5.323862,-17.541363,11.026674
0.388000,3.118490,5.385436,-60.619934,50.612671
0.389000,3.156887,5.660698,-26.205190,50.737957
0.390000,3.376225,5.673786,-74.902601,69.968557
0.391000,3.398709,5.935324,-9.811431,54.167522
0.392000,3.462647,5.916672,-39.157303,63.808013
0.393000,3.551145,6.033222,-30.612158,63.075382
0.394000,3.735886,6.132237,-19.879036,49.557205
0.395000,3.926187,6.114881,-14.091221,57.847457
0.396000,4.059474,6.386835,-34.936556,45.867094
0.397000,4.173991,6.431209,16.974188,50.697551
0.398000,4.467759,6.524769,-32.230140,62.464374
0.399000,4.634148,6.702919,8.898031,51.665650
0.400000,4.790343,6.689639,13.567389,71.905745
0.401000,4.830692,6.976394,43.157549,46.845676
0.402000,5.293994,6.949753,-66.196153,104.110240
0.403000,5.389323,7.026238,-9.178853,34.842247
0.404000,5.753008,7.184356,-4.668039,119.905748
0.405000,6.022540,7.145892,35.233467,72.008905
0.406000,6.389124,7.226119,0.476661,79.826594
0.407000,6.743290,7.174781,-40.332323,87.795249
0.408000,7.058189,7.401638,3.724581,49.666691
0.409000,7.330233,7.328517,9.286616,111.777929
0.410000,7.723828,7.366682,34.015901,49.611094
0.411000,8.035173,7.087347,-19.566501,127.772751
0.412000,8.357128,7.052846,9.621461,98.080045
0.413000,9.229439,7.090583,54.169166,99.734128
0.414000,9.390255,7.108409,-2.902019,65.641036
0.415000,9.760785,6.533200,22.976767,89.267009
0.416000,9.971703,6.507088,64.466152,146.801760
0.417000,10.682825,6.176947,51.113116,102.084872
0.418000,11.059020,5.863363,41.564772,123.081354
0.419000,11.535407,5.527574,110.929151,83.643132
0.420000,11.804963,5.074976,58.128227,65.897543
0.421000,12.300657,4.907610,19.822830,27.075967
0.422000,12.416648,4.270219,137.613570,106.305947
0.423000,12.451923,3.534613,109.588342,19.750709
0.424000,12.713628,2.885261,134.868291,118.344321
0.425000,12.813992,2.521403,110.986476,34.031305
0.426000,13.001238,1.937003,91.265979,-28.818109
0.427000,13.060739,1.524513,97.347818,6.612005
0.428000,12.836038,0.880521,124.365477,-39.434913
0.429000,12.819608,0.208613,94.887165,26.890942
0.430000,12.588033,-0.169160,87.970239,12.361659
0.431000,12.483648,-0.724222,126.049114,38.740032
0.432000,12.177862,-1.057793,63.968334,-46.877600
0.433000,11.997471,-1.668084,108.923296,17.807815
0.434000,11.428818,-1.948150,77.748539,-30.987671
0.435000,11.369648,-2.187200,121.254186,-37.566389
0.436000,11.020763,-2.605771,104.247666,-53.943873
0.437000,10.636389,-2.863052,68.422061,-20.398134
0.438000,10.319967,-3.171286,29.151560,-50.459481
0.439000,10.027034,-3.277536,92.466344,-28.141886
0.440000,9.792547,-3.253614,77.480321,41.946367
0.441000,9.491689,-3.506961,9.430231,7.632782
0.442000,9.121590,-3.608567,64.272741,-21.289213
0.443000,8.886646,-3.785159,139.679668,-50.607263
0.444000,8.578739,-3.786939,68.100495,-67.743911
0.445000,8.308521,-3.927806,54.315004,-52.167282
0.446000,8.008150,-3.973819,13.292734,-49.114385
0.447000,7.759251,-3.896561,62.248151,-46.110208
0.448000,7.377595,-3.968976,23.421737,-13.768831
0.449000,7.217227,-3.886581,69.062705,-61.712111
0.450000,7.265640,-3.895944,16.514327,-122.108257
0.451000,6.969433,-3.917453,50.733959,-106.270744
0.452000,6.785273,-3.998264,42.620464,-25.614019
0.453000,6.301509,-3.925930,45.986026,-38.214338
0.454000,6.439179,-3.911530,12.297170,-28.900474
0.455000,6.251200,-3.930985,27.571823,-41.077251
0.456000,6.049886,-3.818090,25.882010,7.190313
